a/a	LAT	LON	Soil_cond	k	crustal amplification file	input_file
162	40.64743	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
163	40.64466	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
164	40.64189	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
165	40.63912	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
166	40.63635	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
167	40.63358	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
168	40.63081	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
169	40.62805	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
170	40.62528	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
171	40.62251	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
172	40.61974	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
173	40.61697	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
174	40.6142	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
175	40.61143	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
176	40.60867	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
177	40.66577	22.9145	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
178	40.663	22.919	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
179	40.66023	22.9235	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
180	40.65746	22.928	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
181	40.65469	22.9325	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
182	40.65193	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
183	40.64916	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
184	40.64639	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
185	40.64362	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
186	40.64085	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
187	40.63808	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
188	40.63531	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
189	40.63255	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
190	40.62978	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
191	40.62701	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
192	40.62424	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
